"Date","Value"
"01/02/2006",101.4155
"01/03/2006",100.7558
"01/04/2006",100.2288
"01/05/2006",100.2992
"01/06/2006",100.0241
"01/09/2006",100.1794
"01/10/2006",100.1436
"01/11/2006",99.871
"01/12/2006",100.0643
"01/13/2006",99.9675
"01/16/2006",99.9715
"01/17/2006",100.2447
"01/18/2006",100.4085
"01/19/2006",100.1862
"01/20/2006",99.9017
"01/23/2006",99.3783
"01/24/2006",99.3434
"01/25/2006",99.348
"01/26/2006",99.4798
"01/27/2006",99.6433
"01/30/2006",99.7144
"01/31/2006",99.4311
"02/01/2006",99.6132
"02/02/2006",99.7916
"02/03/2006",100.118
"02/06/2006",100.1372
"02/07/2006",100.1759
"02/08/2006",100.4879
"02/09/2006",100.2117
"02/10/2006",100.322
"02/13/2006",100.3955
"02/14/2006",100.3987
"02/15/2006",100.4489
"02/16/2006",100.5183
"02/17/2006",100.3404
"02/20/2006",100.3447
"02/21/2006",100.2346
"02/22/2006",100.3879
"02/23/2006",100.1956
"02/24/2006",100.2594
"02/27/2006",100.0724
"02/28/2006",99.7695
"03/01/2006",99.8355
"03/02/2006",99.5969
"03/03/2006",99.7024
"03/06/2006",99.9834
"03/07/2006",100.564
"03/08/2006",100.8565
"03/09/2006",100.7718
"03/10/2006",100.9566
"03/13/2006",100.8563
"03/14/2006",100.312
"03/15/2006",100.2121
"03/16/2006",99.9049
"03/17/2006",99.8614
"03/20/2006",100.0491
"03/21/2006",100.4716
"03/22/2006",100.496
"03/23/2006",100.8256
"03/24/2006",100.7773
"03/27/2006",100.8359
"03/28/2006",100.7995
"03/29/2006",101.0474
"03/30/2006",100.5698
"03/31/2006",100.56
"04/03/2006",100.6204
"04/04/2006",100.1319
"04/05/2006",100.0792
"04/06/2006",100.1578
"04/07/2006",100.4187
"04/10/2006",100.4091
"04/11/2006",100.2903
"04/12/2006",100.3589
"04/13/2006",100.4759
"04/14/2006",100.4697
"04/17/2006",99.8719
"04/18/2006",99.6747
"04/19/2006",99.3467
"04/20/2006",99.4974
"04/21/2006",99.4345
"04/24/2006",99.117
"04/25/2006",98.9687
"04/26/2006",98.8907
"04/27/2006",98.5149
"04/28/2006",98.1412
"05/01/2006",97.9085
"05/02/2006",97.6571
"05/03/2006",97.5572
"05/04/2006",97.4878
"05/05/2006",97.2585
"05/08/2006",97.1945
"05/09/2006",96.9578
"05/10/2006",96.6391
"05/11/2006",96.5383
"05/12/2006",96.8788
"05/15/2006",97.3588
"05/16/2006",97.1959
"05/17/2006",97.4725
"05/18/2006",97.7033
"05/19/2006",97.933
"05/22/2006",97.9377
"05/23/2006",97.7045
"05/24/2006",98.3936
"05/25/2006",97.8423
"05/26/2006",97.8995
"05/29/2006",97.8936
"05/30/2006",97.588
"05/31/2006",97.7705
"06/01/2006",97.7726
"06/02/2006",97.5544
"06/05/2006",97.3681
"06/06/2006",98.1449
"06/07/2006",98.1641
"06/08/2006",98.9313
"06/09/2006",98.5471
"06/12/2006",98.5494
"06/13/2006",98.9201
"06/14/2006",98.8338
"06/15/2006",98.8846
"06/16/2006",98.9127
"06/19/2006",99.145
"06/20/2006",99.0117
"06/21/2006",98.5544
"06/22/2006",99.0856
"06/23/2006",99.4216
"06/26/2006",99.3634
"06/27/2006",99.219
"06/28/2006",99.392
"06/29/2006",99.2158
"06/30/2006",98.2483
"07/03/2006",98.0371
"07/04/2006",98.0221
"07/05/2006",98.308
"07/06/2006",98.138
"07/07/2006",97.7508
"07/10/2006",97.9813
"07/11/2006",98.2132
"07/12/2006",98.5202
"07/13/2006",98.5583
"07/14/2006",98.6814
"07/17/2006",99.0767
"07/18/2006",99.1341
"07/19/2006",98.9262
"07/20/2006",98.6014
"07/21/2006",98.5221
"07/24/2006",98.7795
"07/25/2006",98.9388
"07/26/2006",98.742
"07/27/2006",98.2283
"07/28/2006",98.0539
"07/31/2006",97.9996
"08/01/2006",98.1715
"08/02/2006",97.9432
"08/03/2006",98.0694
"08/04/2006",97.6005
"08/07/2006",97.5088
"08/08/2006",97.6524
"08/09/2006",97.4402
"08/10/2006",97.8887
"08/11/2006",97.7863
"08/14/2006",97.9677
"08/15/2006",97.8043
"08/16/2006",97.3894
"08/17/2006",97.3486
"08/18/2006",97.7577
"08/21/2006",97.3856
"08/22/2006",97.6079
"08/23/2006",97.5731
"08/24/2006",97.7939
"08/25/2006",97.8827
"08/28/2006",97.8467
"08/29/2006",97.7748
"08/30/2006",97.5792
"08/31/2006",97.644
"09/01/2006",97.5084
"09/04/2006",97.4981
"09/05/2006",97.4392
"09/06/2006",97.6087
"09/07/2006",97.8108
"09/08/2006",98.2119
"09/11/2006",98.3845
"09/12/2006",98.2781
"09/13/2006",98.1775
"09/14/2006",98.0088
"09/15/2006",98.2104
"09/18/2006",98.1332
"09/19/2006",98.1703
"09/20/2006",98.1556
"09/21/2006",97.9458
"09/22/2006",97.8667
"09/25/2006",97.9909
"09/26/2006",98.0555
"09/27/2006",98.0107
"09/28/2006",98.0381
"09/29/2006",98.1054
"10/02/2006",97.9247
"10/03/2006",98.1267
"10/04/2006",98.3682
"10/05/2006",98.2776
"10/06/2006",98.5619
"10/09/2006",98.5702
"10/10/2006",98.9125
"10/11/2006",98.9146
"10/12/2006",98.831
"10/13/2006",98.8002
"10/16/2006",98.71
"10/17/2006",98.5354
"10/18/2006",98.6164
"10/19/2006",98.2897
"10/20/2006",98.1629
"10/23/2006",98.4483
"10/24/2006",98.349
"10/25/2006",98.2057
"10/26/2006",97.8907
"10/27/2006",97.4914
"10/30/2006",97.5672
"10/31/2006",97.3901
"11/01/2006",97.4949
"11/02/2006",97.6556
"11/03/2006",97.7209
"11/06/2006",97.806
"11/07/2006",97.4453
"11/08/2006",97.58
"11/09/2006",97.5041
"11/10/2006",97.4638
"11/13/2006",97.7904
"11/14/2006",97.7475
"11/15/2006",97.8359
"11/16/2006",97.8098
"11/17/2006",97.9855
"11/20/2006",98.0254
"11/21/2006",98.0215
"11/22/2006",97.5315
"11/23/2006",97.5314
"11/24/2006",97.0657
"11/27/2006",96.9986
"11/28/2006",96.8428
"11/29/2006",96.8577
"11/30/2006",96.5779
"12/01/2006",96.4585
"12/04/2006",96.4319
"12/05/2006",96.2082
"12/06/2006",96.2839
"12/07/2006",96.3207
"12/08/2006",96.6123
"12/11/2006",96.6646
"12/12/2006",96.7119
"12/13/2006",96.7296
"12/14/2006",96.7946
"12/15/2006",96.9857
"12/18/2006",97.1559
"12/19/2006",96.9313
"12/20/2006",96.7762
"12/21/2006",96.9148
"12/22/2006",97.1113
"12/25/2006",97.1221
"12/26/2006",97.1786
"12/27/2006",97.2076
"12/28/2006",97.0656
"12/29/2006",97.0312
"01/01/2007",97.0323
"01/03/2007",97.1281
"01/04/2007",97.5251
"01/05/2007",97.7801
"01/08/2007",97.788
"01/09/2007",97.9642
"01/10/2007",98.0943
"01/11/2007",98.0845
"01/12/2007",97.921
"01/15/2007",97.9201
"01/16/2007",97.9816
"01/17/2007",97.7509
"01/18/2007",97.8286
"01/19/2007",97.6868
"01/22/2007",97.827
"01/23/2007",97.8117
"01/24/2007",97.908
"01/25/2007",97.8396
"01/26/2007",98.1491
"01/29/2007",98.2066
"01/30/2007",98.1515
"01/31/2007",97.964
"02/01/2007",97.7101
"02/02/2007",97.9743
"02/05/2007",97.87
"02/06/2007",97.7357
"02/07/2007",97.7239
"02/08/2007",97.8169
"02/09/2007",97.7076
"02/12/2007",97.9409
"02/13/2007",97.7063
"02/14/2007",97.2779
"02/15/2007",97.1588
"02/16/2007",97.164
"02/19/2007",97.1545
"02/20/2007",97.321
"02/21/2007",97.27
"02/22/2007",97.266
"02/23/2007",97.1756
"02/26/2007",97.2281
"02/27/2007",97.0883
"02/28/2007",97.2386
"03/01/2007",97.3358
"03/02/2007",97.3691
"03/05/2007",97.6716
"03/06/2007",97.5123
"03/07/2007",97.4558
"03/08/2007",97.5731
"03/09/2007",97.4559
"03/12/2007",97.3013
"03/13/2007",97.2203
"03/14/2007",97.2759
"03/15/2007",97.2476
"03/16/2007",97.0407
"03/19/2007",97.1062
"03/20/2007",96.7985
"03/21/2007",96.6195
"03/22/2007",96.3893
"03/23/2007",96.5662
"03/26/2007",96.5493
"03/27/2007",96.4558
"03/28/2007",96.4894
"03/29/2007",96.5067
"03/30/2007",96.3183
"04/02/2007",96.3175
"04/03/2007",96.3774
"04/04/2007",96.3646
"04/05/2007",96.1188
"04/06/2007",96.2526
"04/09/2007",96.293
"04/10/2007",96.1179
"04/11/2007",96.0293
"04/12/2007",95.7999
"04/13/2007",95.711
"04/16/2007",95.5538
"04/17/2007",95.3832
"04/18/2007",95.3109
"04/19/2007",95.2712
"04/20/2007",95.1692
"04/23/2007",95.1833
"04/24/2007",95.1608
"04/25/2007",94.8497
"04/26/2007",95.1653
"04/27/2007",95.0103
"04/30/2007",94.8365
"05/01/2007",95.0037
"05/02/2007",95.0352
"05/03/2007",95.0167
"05/04/2007",94.9118
"05/07/2007",94.6914
"05/08/2007",94.8648
"05/09/2007",94.7933
"05/10/2007",94.9506
"05/11/2007",95.0035
"05/14/2007",94.8267
"05/15/2007",94.5574
"05/16/2007",94.8143
"05/17/2007",94.8339
"05/18/2007",94.6573
"05/21/2007",94.7026
"05/22/2007",94.5753
"05/23/2007",94.4557
"05/24/2007",94.7025
"05/25/2007",94.5022
"05/28/2007",94.4959
"05/29/2007",94.3533
"05/30/2007",94.549
"05/31/2007",94.3215
"06/01/2007",94.132
